challenge_id,challenge_type_disag,challenge_type
ff658961-9b0a-4fdf-a96d-e4e92bf3dfce,AD HOC,Cobertura
787b6ae6-d9ec-4a88-a669-0cf416de34d5,CANCELADO,xxxxxxxxx
beaac53b-a6f1-43bb-a21a-32c384d8aa3e,AD HOC,Cobertura
4dc0ceb0-c65b-4589-9786-edec4f4cca2f,AD HOC,Cobertura
98faad30-bdf8-4dce-ac6a-93817fbecc95,CANCELADO,xxxxxxxxx
de6e3c7d-d76e-4cff-a01e-615d35415f1b,CANCELADO,xxxxxxxxx
12d16362-9b98-409d-832d-8fbf2c2e42a9,AD HOC,Cobertura
77c06342-7f35-4972-bdd6-f174249224c3,CANCELADO,xxxxxxxxx
30099402-5360-4c80-9a1e-a2d04a0cae03,AD HOC,Cobertura
8f662be4-b050-4961-94a5-074812092bab,CANCELADO,xxxxxxxxx
fa4e8131-e9c4-4ace-81f2-92ef1ddf87e6,AD HOC,Cobertura
9c929da5-4f61-4ebc-ae57-dd05924c420e,AD HOC,Cobertura
2d3c3cb8-2d10-4e97-9c74-2d92a4d45bea,AD HOC,Cobertura
2091f39e-d4fa-4b01-861c-716322a8af08,CANCELADO,xxxxxxxxx
6a117e9f-7477-484d-8391-d191872284f1,AD HOC,Cobertura
75ba4cd0-57da-4560-9ec9-60caf76a85d8,CANCELADO,xxxxxxxxx
043cf303-bbe8-4bcb-8df0-bef385b382da,AD HOC,Cobertura
07ba18aa-b73e-4bff-b4ba-a6add626c9a0,AD HOC,Cobertura
7b26099f-3848-4d39-a262-2ffc1e2737c2,AD HOC,Cobertura
07221d9e-d0da-4c99-9a75-288b50d44b20,CANCELADO,xxxxxxxxx
5aafece7-dfa8-46cc-a5e5-0fa4c64a34f3,CANCELADO,xxxxxxxxx
a7bee802-9633-4f69-9b37-007daa89d512,INNOVACION,Cobertura Inno
174c4174-6856-47cf-96c3-6a2c464a6574,CANCELADO,xxxxxxxxx
e0d3750b-e46a-4cce-9dd9-c23266ae0939,CANCELADO,xxxxxxxxx
ae15a4b8-0e30-4f20-983c-faf9b1627695,INNOVACION,Cobertura Inno
bd88ec81-20c8-4108-94d0-6413155564a3,CANCELADO,xxxxxxxxx
f285f974-dd4b-4370-b0fd-6ffc5877ec83,CANCELADO,xxxxxxxxx
1efb1d23-8a1c-4628-91c6-e5c35356c868,INNOVACION,Cobertura Inno
c300d821-3523-426e-8477-e43459b18084,INNOVACION,Cobertura Inno
95a60daa-c83d-4686-b798-da09ac5066fe,CANCELADO,xxxxxxxxx
2033c0ac-9dce-4f25-8f32-0e1b8aab402c,CANCELADO,xxxxxxxxx
fb23714f-0629-42da-b214-3d4ecc0149ce,CANCELADO,xxxxxxxxx
4e59dd24-72f2-4567-aa10-641be8170374,CANCELADO,xxxxxxxxx
a280c32c-68bb-4510-b1ee-d55b01c3829b,CANCELADO,xxxxxxxxx
085b34a2-8fba-41ec-a77c-7efe9a165fa8,CANCELADO,xxxxxxxxx
706bb729-6b59-4dd7-a926-00a0631d5ce4,CANCELADO,xxxxxxxxx
0acf4e8d-c6a3-40d2-bb03-fdf028c2af3d,INNOVACION,Cobertura Inno
feb8b189-c54f-4a50-8cd7-5dad603ff088,AD HOC,Cobertura
bff5446c-74dd-417c-a96f-d8e067453b07,AD HOC,Cobertura
03add45a-5424-475a-b216-315781e5687d,AD HOC,Cobertura
2b89ead8-d9bb-4b43-b2f3-72a44af126cf,AD HOC,Cobertura
11fbc848-659d-4c29-b012-f15f5fb1e148,CANCELADO,xxxxxxxxx
a16a568b-b887-4b10-81d0-56433567a2f3,CANCELADO,xxxxxxxxx
