challenge_id,challenge_type_disag,challenge_type
f582b30d-bde3-4604-bab9-997b5476bdeb,AD HOC,Cobertura
95460795-7cd4-44bf-8837-50b801b8cf24,AD HOC,Cobertura
99b7029c-89c1-4750-be45-1c1102dbc872,AD HOC,Cobertura
5460fa0d-121e-4b5f-81c0-42ee9d947a19,AD HOC,Cobertura
3309251a-932a-46e1-9b8b-88f5da73d9b7,CANCELADO,xxxxxxxxx
c05b74c7-2609-489c-b234-0e915fb9ec87,CANCELADO,xxxxxxxxx
e635b77a-4487-43a8-bea5-9892d4e74eb1,CANCELADO,xxxxxxxxx
2f2023f6-a022-4ef0-b374-458966a5ed81,CANCELADO,xxxxxxxxx
ff74bf50-d48e-489e-b575-018f0f5f4600,CANCELADO,xxxxxxxxx
afd3d8ed-8bea-46b7-a931-0c3e7408433e,CANCELADO,xxxxxxxxx
e83664d2-02af-4bdc-bb13-e3f6ad533a8b,AD HOC,Cobertura
82744ada-31d4-45d2-877b-c5eff7839a4b,CANCELADO,xxxxxxxxx
dae0ea3f-2dfb-428a-9e88-eeebe82f2e08,CANCELADO,xxxxxxxxx
