cliente_truck,cliente_chess,codigo_distri,codigo_bees
103810,60199,135958000,13595800060199
103811,60200,135958000,13595800060200
103876,60201,135958000,13595800060201
103917,60202,135958000,13595800060202
104713,60203,135958000,13595800060203
104794,60204,135958000,13595800060204
108213,60205,135958000,13595800060205
108685,60206,135958000,13595800060206
109452,60207,135958000,13595800060207
109611,60208,135958000,13595800060208
109811,60209,135958000,13595800060209
110739,60210,135958000,13595800060210
110826,60211,135958000,13595800060211
111081,60212,135958000,13595800060212
111928,60213,135958000,13595800060213
112390,60214,135958000,13595800060214
112824,60215,135958000,13595800060215
113025,60216,135958000,13595800060216
113389,60217,135958000,13595800060217
113392,60218,135958000,13595800060218
113396,60219,135958000,13595800060219
113397,60220,135958000,13595800060220
114707,60221,135958000,13595800060221
116932,60222,135958000,13595800060222
117627,60223,135958000,13595800060223
117854,60224,135958000,13595800060224
118019,60225,135958000,13595800060225
118326,60226,135958000,13595800060226
118472,60227,135958000,13595800060227
118477,60228,135958000,13595800060228
118596,60229,135958000,13595800060229
118651,60230,135958000,13595800060230
118734,60231,135958000,13595800060231
119070,60232,135958000,13595800060232
119304,60233,135958000,13595800060233
119309,60234,135958000,13595800060234
119520,60235,135958000,13595800060235
119601,60236,135958000,13595800060236
119637,60237,135958000,13595800060237
119689,60238,135958000,13595800060238
119778,60239,135958000,13595800060239
119828,60240,135958000,13595800060240
120704,60241,135958000,13595800060241
121206,60242,135958000,13595800060242
122343,60243,135958000,13595800060243
122348,60244,135958000,13595800060244
122565,60245,135958000,13595800060245
122619,60246,135958000,13595800060246
122949,60247,135958000,13595800060247
123214,60248,135958000,13595800060248
123956,60249,135958000,13595800060249
124197,60250,135958000,13595800060250
124349,60251,135958000,13595800060251
125101,60252,135958000,13595800060252
126451,60253,135958000,13595800060253
127025,60254,135958000,13595800060254
128682,60255,135958000,13595800060255
133583,60256,135958000,13595800060256
134222,60257,135958000,13595800060257
134859,60258,135958000,13595800060258
134861,60259,135958000,13595800060259
134887,60260,135958000,13595800060260
134979,60261,135958000,13595800060261
135459,60262,135958000,13595800060262
135503,60263,135958000,13595800060263
135663,60264,135958000,13595800060264
135709,60265,135958000,13595800060265
135721,60266,135958000,13595800060266
136062,60267,135958000,13595800060267
136243,60268,135958000,13595800060268
136328,60269,135958000,13595800060269
136432,60270,135958000,13595800060270
136911,60271,135958000,13595800060271
138268,60272,135958000,13595800060272
138521,60273,135958000,13595800060273
138626,60275,135958000,13595800060275
139115,60276,135958000,13595800060276
139439,60277,135958000,13595800060277
140195,60278,135958000,13595800060278
140335,60279,135958000,13595800060279
140364,60280,135958000,13595800060280
140707,60281,135958000,13595800060281
141090,60282,135958000,13595800060282
141586,60283,135958000,13595800060283
141854,60284,135958000,13595800060284
142022,60285,135958000,13595800060285
142193,60286,135958000,13595800060286
142327,60287,135958000,13595800060287
142628,60288,135958000,13595800060288
143406,60289,135958000,13595800060289
145047,60290,135958000,13595800060290
145998,60291,135958000,13595800060291
146119,60292,135958000,13595800060292
146316,60293,135958000,13595800060293
146348,60294,135958000,13595800060294
146481,60295,135958000,13595800060295
146566,60296,135958000,13595800060296
146724,60297,135958000,13595800060297
147129,60298,135958000,13595800060298
147342,60299,135958000,13595800060299
147523,60300,135958000,13595800060300
147597,60301,135958000,13595800060301
147652,60302,135958000,13595800060302
148253,60303,135958000,13595800060303
148538,60304,135958000,13595800060304
149451,60305,135958000,13595800060305
149528,60306,135958000,13595800060306
149638,60307,135958000,13595800060307
149887,60308,135958000,13595800060308
149892,60309,135958000,13595800060309
150363,60310,135958000,13595800060310
150372,60311,135958000,13595800060311
150389,60312,135958000,13595800060312
150464,60313,135958000,13595800060313
150578,60314,135958000,13595800060314
150666,60315,135958000,13595800060315
150830,60316,135958000,13595800060316
150920,60317,135958000,13595800060317
151287,60318,135958000,13595800060318
151299,60319,135958000,13595800060319
151674,60320,135958000,13595800060320
152244,60321,135958000,13595800060321
152683,60322,135958000,13595800060322
153185,60323,135958000,13595800060323
153314,60324,135958000,13595800060324
153506,60325,135958000,13595800060325
153839,60326,135958000,13595800060326
153855,60327,135958000,13595800060327
153957,60328,135958000,13595800060328
154086,60329,135958000,13595800060329
154109,60330,135958000,13595800060330
154153,60331,135958000,13595800060331
154315,60332,135958000,13595800060332
154366,60333,135958000,13595800060333
154565,60334,135958000,13595800060334
154847,60335,135958000,13595800060335
154946,60336,135958000,13595800060336
154951,60337,135958000,13595800060337
155091,60338,135958000,13595800060338
155106,60339,135958000,13595800060339
155594,60340,135958000,13595800060340
155846,60341,135958000,13595800060341
155848,60342,135958000,13595800060342
156014,60343,135958000,13595800060343
157249,60344,135958000,13595800060344
157362,60345,135958000,13595800060345
157459,60346,135958000,13595800060346
157772,60347,135958000,13595800060347
158306,60348,135958000,13595800060348
158894,60349,135958000,13595800060349
159266,60350,135958000,13595800060350
159382,60351,135958000,13595800060351
159652,60352,135958000,13595800060352
159967,60353,135958000,13595800060353
162752,60354,135958000,13595800060354
164911,60355,135958000,13595800060355
165474,60356,135958000,13595800060356
165574,60357,135958000,13595800060357
166213,60358,135958000,13595800060358
166569,60359,135958000,13595800060359
167108,60360,135958000,13595800060360
167186,60361,135958000,13595800060361
168019,60362,135958000,13595800060362
168729,60363,135958000,13595800060363
168883,60364,135958000,13595800060364
169132,60365,135958000,13595800060365
169373,60366,135958000,13595800060366
169945,60367,135958000,13595800060367
170183,60368,135958000,13595800060368
170324,60369,135958000,13595800060369
170379,60370,135958000,13595800060370
171198,60371,135958000,13595800060371
171242,60372,135958000,13595800060372
171421,60373,135958000,13595800060373
171426,60374,135958000,13595800060374
171941,60375,135958000,13595800060375
172270,60376,135958000,13595800060376
172292,60377,135958000,13595800060377
172429,60378,135958000,13595800060378
172529,60379,135958000,13595800060379
172625,60380,135958000,13595800060380
172707,60381,135958000,13595800060381
173780,60382,135958000,13595800060382
173948,60383,135958000,13595800060383
174279,60384,135958000,13595800060384
174335,60385,135958000,13595800060385
174434,60386,135958000,13595800060386
174593,60387,135958000,13595800060387
174976,60388,135958000,13595800060388
175417,60389,135958000,13595800060389
175561,60390,135958000,13595800060390
175633,60391,135958000,13595800060391
175763,60392,135958000,13595800060392
176130,60393,135958000,13595800060393
176132,60394,135958000,13595800060394
177562,60395,135958000,13595800060395
177566,60396,135958000,13595800060396
177656,60397,135958000,13595800060397
177673,60398,135958000,13595800060398
177866,60399,135958000,13595800060399
177957,60400,135958000,13595800060400
178067,60401,135958000,13595800060401
178191,60402,135958000,13595800060402
178201,60403,135958000,13595800060403
178495,60404,135958000,13595800060404
179070,60405,135958000,13595800060405
179245,60406,135958000,13595800060406
179372,60407,135958000,13595800060407
179380,60408,135958000,13595800060408
179475,60409,135958000,13595800060409
179776,60410,135958000,13595800060410
180154,60411,135958000,13595800060411
180157,60412,135958000,13595800060412
181383,60413,135958000,13595800060413
181798,60414,135958000,13595800060414
182697,60415,135958000,13595800060415
182920,60416,135958000,13595800060416
182970,60417,135958000,13595800060417
183025,60418,135958000,13595800060418
183026,60419,135958000,13595800060419
183192,60420,135958000,13595800060420
183469,60421,135958000,13595800060421
183817,60422,135958000,13595800060422
184075,60423,135958000,13595800060423
184236,60424,135958000,13595800060424
184677,60425,135958000,13595800060425
184927,60426,135958000,13595800060426
185087,60427,135958000,13595800060427
185728,60428,135958000,13595800060428
185729,60429,135958000,13595800060429
186210,60430,135958000,13595800060430
186757,60431,135958000,13595800060431
186798,60432,135958000,13595800060432
186827,60433,135958000,13595800060433
186952,60434,135958000,13595800060434
187248,60435,135958000,13595800060435
187313,60436,135958000,13595800060436
187531,60437,135958000,13595800060437
187537,60438,135958000,13595800060438
187632,60439,135958000,13595800060439
187644,60440,135958000,13595800060440
187716,60441,135958000,13595800060441
187832,60442,135958000,13595800060442
187861,60443,135958000,13595800060443
187876,60444,135958000,13595800060444
187915,60445,135958000,13595800060445
188276,60446,135958000,13595800060446
188362,60447,135958000,13595800060447
188523,60448,135958000,13595800060448
188617,60449,135958000,13595800060449
188752,60450,135958000,13595800060450
189053,60451,135958000,13595800060451
189118,60452,135958000,13595800060452
189268,60453,135958000,13595800060453
189564,60454,135958000,13595800060454
189585,60455,135958000,13595800060455
189949,60456,135958000,13595800060456
189952,60457,135958000,13595800060457
200100,60458,135958000,13595800060458
300221,60459,135958000,13595800060459
300458,60460,135958000,13595800060460
300752,60461,135958000,13595800060461
300802,60462,135958000,13595800060462
300916,60463,135958000,13595800060463
301027,60464,135958000,13595800060464
301492,60465,135958000,13595800060465
302892,60466,135958000,13595800060466
303474,60467,135958000,13595800060467
303604,60468,135958000,13595800060468
303706,60469,135958000,13595800060469
304021,60470,135958000,13595800060470
304300,60471,135958000,13595800060471
304963,60472,135958000,13595800060472
305074,60473,135958000,13595800060473
305431,60474,135958000,13595800060474
305434,60475,135958000,13595800060475
305823,60476,135958000,13595800060476
305908,60477,135958000,13595800060477
305960,60478,135958000,13595800060478
306403,60479,135958000,13595800060479
306433,60480,135958000,13595800060480
306434,60481,135958000,13595800060481
306536,60482,135958000,13595800060482
307395,60483,135958000,13595800060483
307523,60484,135958000,13595800060484
307932,60485,135958000,13595800060485
308092,60486,135958000,13595800060486
308203,60487,135958000,13595800060487
309155,60488,135958000,13595800060488
309169,60489,135958000,13595800060489
309239,60490,135958000,13595800060490
309452,60491,135958000,13595800060491
309574,60492,135958000,13595800060492
309631,60493,135958000,13595800060493
309848,60494,135958000,13595800060494
309866,60495,135958000,13595800060495
309891,60496,135958000,13595800060496
310003,60497,135958000,13595800060497
310044,60498,135958000,13595800060498
310093,60499,135958000,13595800060499
310172,60500,135958000,13595800060500
310206,60501,135958000,13595800060501
310347,60502,135958000,13595800060502
310349,60503,135958000,13595800060503
310352,60504,135958000,13595800060504
310394,60505,135958000,13595800060505
310428,60506,135958000,13595800060506
310614,60507,135958000,13595800060507
310624,60508,135958000,13595800060508
310800,60509,135958000,13595800060509
310896,60510,135958000,13595800060510
310978,60511,135958000,13595800060511
311310,60512,135958000,13595800060512
311574,60513,135958000,13595800060513
311882,60514,135958000,13595800060514
312288,60515,135958000,13595800060515
312330,60516,135958000,13595800060516
312430,60517,135958000,13595800060517
312650,60518,135958000,13595800060518
312827,60519,135958000,13595800060519
312974,60520,135958000,13595800060520
313106,60521,135958000,13595800060521
313464,60522,135958000,13595800060522
313643,60523,135958000,13595800060523
314025,60524,135958000,13595800060524
314183,60525,135958000,13595800060525
314598,60526,135958000,13595800060526
314690,60527,135958000,13595800060527
315158,60528,135958000,13595800060528
315892,60529,135958000,13595800060529
315907,60530,135958000,13595800060530
315945,60531,135958000,13595800060531
316133,60532,135958000,13595800060532
316231,60533,135958000,13595800060533
316325,60534,135958000,13595800060534
316827,60535,135958000,13595800060535
316952,60536,135958000,13595800060536
317763,60537,135958000,13595800060537
317892,60538,135958000,13595800060538
318460,60539,135958000,13595800060539
319874,60540,135958000,13595800060540
321127,60541,135958000,13595800060541
321777,60542,135958000,13595800060542
322331,60543,135958000,13595800060543
322399,60544,135958000,13595800060544
322546,60545,135958000,13595800060545
322707,60546,135958000,13595800060546
322772,60547,135958000,13595800060547
322823,60548,135958000,13595800060548
323305,60549,135958000,13595800060549
323308,60550,135958000,13595800060550
323366,60551,135958000,13595800060551
323370,60552,135958000,13595800060552
323550,60553,135958000,13595800060553
323703,60554,135958000,13595800060554
323907,60555,135958000,13595800060555
323912,60556,135958000,13595800060556
323967,60557,135958000,13595800060557
324020,60558,135958000,13595800060558
324023,60559,135958000,13595800060559
324274,60560,135958000,13595800060560
324298,60561,135958000,13595800060561
324396,60562,135958000,13595800060562
324459,60563,135958000,13595800060563
324776,60564,135958000,13595800060564
324783,60565,135958000,13595800060565
325038,60566,135958000,13595800060566
325040,60567,135958000,13595800060567
325044,60568,135958000,13595800060568
325050,60569,135958000,13595800060569
325421,60570,135958000,13595800060570
325502,60571,135958000,13595800060571
325505,60572,135958000,13595800060572
325634,60573,135958000,13595800060573
325642,60574,135958000,13595800060574
325968,60575,135958000,13595800060575
326070,60576,135958000,13595800060576
326132,60577,135958000,13595800060577
326253,60578,135958000,13595800060578
326860,60579,135958000,13595800060579
326878,60580,135958000,13595800060580
327943,60581,135958000,13595800060581
328105,60582,135958000,13595800060582
328679,60583,135958000,13595800060583
329030,60584,135958000,13595800060584
329108,60585,135958000,13595800060585
329210,60586,135958000,13595800060586
329260,60587,135958000,13595800060587
329319,60588,135958000,13595800060588
329345,60589,135958000,13595800060589
329351,60590,135958000,13595800060590
329445,60591,135958000,13595800060591
330034,60592,135958000,13595800060592
330285,60593,135958000,13595800060593
330292,60594,135958000,13595800060594
330357,60595,135958000,13595800060595
330412,60596,135958000,13595800060596
330647,60597,135958000,13595800060597
331305,60598,135958000,13595800060598
331406,60599,135958000,13595800060599
331477,60600,135958000,13595800060600
331526,60601,135958000,13595800060601
331789,60602,135958000,13595800060602
331852,60603,135958000,13595800060603
331858,60604,135958000,13595800060604
332775,60605,135958000,13595800060605
332794,60606,135958000,13595800060606
333185,60607,135958000,13595800060607
334601,60608,135958000,13595800060608
334610,60609,135958000,13595800060609
334616,60610,135958000,13595800060610
335039,60611,135958000,13595800060611
335292,60612,135958000,13595800060612
335925,60613,135958000,13595800060613
336140,60614,135958000,13595800060614
336141,60615,135958000,13595800060615
336877,60616,135958000,13595800060616
336892,60617,135958000,13595800060617
336915,60618,135958000,13595800060618
337141,60619,135958000,13595800060619
337416,60620,135958000,13595800060620
337507,60621,135958000,13595800060621
337747,60622,135958000,13595800060622
337806,60623,135958000,13595800060623
337904,60624,135958000,13595800060624
337951,60625,135958000,13595800060625
338382,60626,135958000,13595800060626
338415,60627,135958000,13595800060627
338702,60628,135958000,13595800060628
338711,60629,135958000,13595800060629
338871,60630,135958000,13595800060630
339626,60631,135958000,13595800060631
340715,60632,135958000,13595800060632
340829,60633,135958000,13595800060633
341107,60634,135958000,13595800060634
341615,60635,135958000,13595800060635
342432,60636,135958000,13595800060636
342441,60637,135958000,13595800060637
342463,60638,135958000,13595800060638
342603,60639,135958000,13595800060639
342607,60640,135958000,13595800060640
342808,60641,135958000,13595800060641
353948,60642,135958000,13595800060642
353960,60643,135958000,13595800060643
353979,60644,135958000,13595800060644
354199,60645,135958000,13595800060645
354371,60646,135958000,13595800060646
354697,60647,135958000,13595800060647
354958,60648,135958000,13595800060648
354962,60649,135958000,13595800060649
355243,60650,135958000,13595800060650
355437,60651,135958000,13595800060651
356775,60652,135958000,13595800060652
356812,60653,135958000,13595800060653
356816,60654,135958000,13595800060654
356862,60655,135958000,13595800060655
356868,60656,135958000,13595800060656
357510,60657,135958000,13595800060657
357697,60658,135958000,13595800060658
357804,60659,135958000,13595800060659
357805,60660,135958000,13595800060660
358272,60661,135958000,13595800060661
358301,60662,135958000,13595800060662
358970,60663,135958000,13595800060663
359119,60664,135958000,13595800060664
359208,60665,135958000,13595800060665
359807,60666,135958000,13595800060666
360063,60667,135958000,13595800060667
360263,60668,135958000,13595800060668
360552,60669,135958000,13595800060669
360619,60670,135958000,13595800060670
360745,60671,135958000,13595800060671
360748,60672,135958000,13595800060672
362921,60673,135958000,13595800060673
363923,60674,135958000,13595800060674
364063,60675,135958000,13595800060675
364064,60676,135958000,13595800060676
364172,60677,135958000,13595800060677
364191,60678,135958000,13595800060678
364382,60679,135958000,13595800060679
364421,60680,135958000,13595800060680
364497,60681,135958000,13595800060681
364503,60682,135958000,13595800060682
