id_desafio,tipo_desafio
"""1659119076091""",CVZA M1
"""1659407457134""",CVZA M1
"""1659407590000""",CVZA M1
"""1659408003402""",CVZA M1
"""1659408292041""",CVZA M1
"""1659539392730""",CVZA M1
"""1659700927529""",CVZA M1
"""1659107497388""",CVZA M1
"""1659109337511""",CVZA M1
"""1659114359813""",CVZA M1
"""1659101779730""",CVZA M1
"""1659106671435""",CVZA M1
"""1659106050109""",CVZA M1
"""1659108230949""",CVZA M1
"""1659115811260""",CVZA M1
