challenge_id,challenge_type_orig,challenge_type
5d98f93d-b288-4ecc-89e9-116a223c4973,AD HOC,Cobertura Cerveza
8f25bd9d-1862-4da2-8c19-9e319fcef1ab,AD HOC,Cobertura Cerveza
63425d84-3cde-4381-8712-fb846f2c1772,AD HOC,Cobertura Cerveza
16f63d33-f895-4947-8e52-78bb78efea22,AD HOC,Cobertura Cerveza
3ea1870c-6e2f-487b-8a57-d93a6e4a0520,AD HOC,Cobertura Cerveza
11397272-8921-4712-b95d-a4e92fde7c80,INNOVACION,Cobertura Innovaciones
39b1fffc-d277-42da-9631-800ed333470b,AD HOC,Cobertura Cerveza
955e8240-d287-4afd-b6c6-9cac201d8219,AD HOC,Cobertura Cerveza
6a104eb2-676b-427c-89fd-5bce5cdfa7c7,AD HOC,Cobertura Cerveza
b5c8c50b-397c-4e2b-92cf-6fc2b2048f8c,INNOVACION,Cobertura Innovaciones
9ff3f254-2485-4b99-a6de-3f0cf55f7bef,INNOVACION,Cobertura Innovaciones
c0573354-38e1-4243-808a-b8171e6623f8,AD HOC,Cobertura Cerveza
f82c59da-5200-41f8-8dca-cca80d25485d,AD HOC,Cobertura Cerveza
bcc50ffb-d8d0-4afc-8868-adca0ce7bff0,AD HOC,Cobertura Cerveza
66beba80-1d31-4552-8538-36b193a1fec1,AD HOC,Cobertura Cerveza
9156dad8-9ed8-4f6b-bafa-d50909be8b50,INNOVACION,Cobertura Innovaciones
